wavelength_A,flux,ivar
3803.644825753192,15.2486925,0.03115611
3804.5219378491265,9.273247,0.034057252
3805.397163121219,0.2810431,0.038554136
3806.272589737735,4.842085,0.03520992
3807.1503077902407,9.479885,0.03316292
3808.0261377153843,22.295023,0.030758198
3808.9042601321803,10.329272,0.035360705
3809.780493551755,9.414863,0.04650822
3810.659020519133,16.401749,0.046602223
3811.5356576190284,17.34904,0.048994165
3812.412496388137,13.521829,0.052278854
3813.291630289555,10.44161,0.055341028
3814.168873017869,15.0457735,0.055652574
3815.048411935859,13.016311,0.05999767
3815.9260588094817,11.343953,0.06259599
3816.8060029306343,10.295913,0.06632051
3817.6840541357556,8.2414875,0.0699364
3818.562307335403,6.976813,0.07330501
3819.442859369643,9.501479,0.07053289
3820.321517180123,11.172099,0.07018797
3821.202474884268,8.010986,0.0715423
3822.081537491985,11.190728,0.07051196
3822.962901052926,13.577038,0.06674249
3823.8423686443693,7.4913774,0.07370599
3824.7241382490856,18.492622,0.06693819
3825.6040110108315,13.011533,0.06987286
3826.48408618615,10.684497,0.07395701
3827.366464965097,9.326609,0.073472746
3828.246945590631,12.294045,0.067498095
3829.129730881063,24.735243,0.057005987
3830.010617143604,13.810943,0.05874649
3830.893809132801,7.4585614,0.06365818
3831.7751012192257,5.5451674,0.06578383
3832.6565960457365,3.9169726,0.06881214
3833.5403981918244,14.369563,0.06716439
3834.422299122584,19.312325,0.06424133
3835.3065084359014,11.929286,0.07159339
3836.1888156580017,10.222037,0.07294641
3837.0734323261304,17.661802,0.06939967
3837.9561460267496,13.247935,0.07423322
3838.839062794496,4.7487197,0.08026331
3839.724290603761,11.427386,0.07701589
3840.6076141308436,10.850209,0.07774629
3841.4932497641403,13.745677,0.07561009
3842.376980237953,13.2734585,0.07631868
3843.2630238831666,12.327035,0.076634996
3844.1471614911898,15.34742,0.07413574
3845.0315024939073,15.979301,0.07453894
3845.9181582660904,11.0126295,0.08087129
3846.8029066842887,12.805616,0.083200656
3847.6899709383656,12.7429085,0.08291708
3848.575126959741,14.326643,0.08662966
3849.4625998838987,11.82772,0.087958656
3850.3481636962338,17.994495,0.08239449
3851.2339312313597,13.020037,0.08554844
3852.1220172699104,6.058808,0.09278654
3853.0081928777204,12.291471,0.086490825
3853.896688057088,17.424969,0.08216315
3854.78327192558,8.533708,0.08911209
3855.6721764342556,5.691614,0.0970293
3856.5591687515152,20.7778,0.08259897
3857.4463651201922,11.388902,0.09512303
3858.3358837322767,11.978056,0.09438528
3859.2234888319,18.177935,0.089466415
3860.1134172447873,14.899731,0.09371826
3861.001431263659,9.2879305,0.09737748
3861.8917696661447,10.893658,0.09879212
3862.780192792654,12.323383,0.096016675
3863.668820299736,11.49344,0.10021463
3864.5597737962416,19.922293,0.08893799
3865.448810693595,19.7647,0.08811768
3866.3401746519544,18.289455,0.09036408
3867.229621128185,17.821478,0.08882085
3868.121395737497,17.396547,0.09073979
3869.0112519812974,14.041136,0.095205404
3869.9013129353575,12.103715,0.10276515
3870.7937036309,15.96653,0.10228667
3871.6841746356195,15.633819,0.101787195
3872.576976455132,19.410412,0.096691884
3873.467857699421,15.236352,0.103025846
3874.3610708323085,12.617588,0.10574965
3875.252362505165,12.842852,0.10759778
3876.143859218499,10.75787,0.10921988
3877.0376894314263,11.288829,0.11348189
3877.929596856874,11.909384,0.110246584
3878.8238388569566,10.910286,0.11213528
3879.7161571837323,19.051315,0.09942087
3880.6108111606804,16.214373,0.1007344
3881.5035405780864,16.019855,0.099607766
3882.396475366721,15.869173,0.10142926
3883.2917474191227,15.054347,0.104203
3884.1850935823913,15.165664,0.10957101
3885.080778086203,13.884603,0.11572531
3885.9745358136256,8.658182,0.12738776
3886.8706329588636,7.804709,0.12529188
3887.7648024400473,12.848395,0.12670885
3888.6591776237456,4.4874096,0.14135495
3889.5558938414556,8.948621,0.1374122
3890.4506810633766,7.54898,0.13868088
3891.3478103978227,9.312341,0.12718007
3892.243009847793,9.470828,0.12673692
3893.1405524892984,10.595501,0.120760135
3894.0361643572305,9.763992,0.12720671
3894.9341204962057,11.225465,0.12164688
3895.8301449721007,17.490938,0.11303351
3896.726375577249,12.294851,0.12470845
3897.62495207299,11.449976,0.1295249
3898.5215955711533,11.174144,0.13140419
3899.420586040659,13.876281,0.1314164
3900.317642622057,13.725901,0.1343285
3901.217047256046,14.949459,0.12771577
3902.114517110986,16.230886,0.12115209
3903.0121934276863,13.522,0.12542707
3903.91221941914,12.107494,0.12515248
3904.810309294894,15.188729,0.12315467
3905.710749927895,9.3087635,0.12639901
3906.6092535532293,10.912595,0.12445009
3907.510109018803,11.527387,0.11510672
3908.4090265843315,15.475744,0.112434626
3909.3081509446642,14.373556,0.108709626
3910.2096287700156,15.053283,0.10393567
3911.109167356515,13.640641,0.10074818
3912.0110604922734,7.6980605,0.10758028
3912.911013495773,7.362253,0.11522939
3913.8133221332714,10.90333,0.116711795
3914.7136897446935,9.597848,0.12243134
3915.614264484501,13.08088,0.11939283
3916.517196485707,11.70872,0.1287718
3917.4181861198704,11.688079,0.1352525
3918.321534101421,11.33043,0.13794436
3919.2229388210817,12.101373,0.14264236
3920.126702974619,13.4920435,0.13844237
3921.028522971007,11.097843,0.14416717
3921.9305504298995,7.780393,0.15717614
3922.834938952694,11.707582,0.15067308
3923.7373819752092,11.251697,0.143905
3924.6421871493676,15.689977,0.13506842
3925.5450459269555,11.570031,0.14216685
3926.4502679444286,14.005526,0.13745154
