wavelength_A,flux,ivar
3823.8423686443693,26.087078,0.118024565
3824.7241382490856,35.03155,0.06311433
3825.6040110108315,24.575449,0.06830193
3826.48408618615,32.10216,0.06171804
3827.366464965097,34.51125,0.05993364
3828.246945590631,34.07858,0.060530677
3829.129730881063,34.285553,0.06291636
3830.010617143604,30.997396,0.06477359
3830.893809132801,28.911673,0.06802433
3831.7751012192257,30.888288,0.06841957
3832.6565960457365,23.448566,0.075690925
3833.5403981918244,18.332367,0.08109332
3834.422299122584,15.930237,0.084832005
3835.3065084359014,13.09356,0.08978705
3836.1888156580017,15.753726,0.08967712
3837.0734323261304,14.6792555,0.09364389
3837.9561460267496,14.634502,0.09468206
3838.839062794496,18.083435,0.09302644
3839.724290603761,15.812161,0.090757556
3840.6076141308436,12.2365885,0.09473408
3841.4932497641403,20.287483,0.08409746
3842.376980237953,18.776081,0.08573653
3843.2630238831666,19.025995,0.08434877
3844.1471614911898,19.237022,0.08216234
3845.0315024939073,22.912601,0.0800663
3845.9181582660904,22.198345,0.08183497
3846.8029066842887,29.831486,0.07934816
3847.6899709383656,33.39583,0.078005716
3848.575126959741,28.27528,0.08378697
3849.4625998838987,30.5616,0.08177428
3850.3481636962338,29.11241,0.08155737
3851.2339312313597,35.67555,0.077272445
3852.1220172699104,30.608095,0.07854575
3853.0081928777204,38.64874,0.074618734
3853.896688057088,33.531395,0.0776005
3854.78327192558,34.69913,0.075890966
3855.6721764342556,38.76418,0.07396827
3856.5591687515152,38.799606,0.07430915
3857.4463651201922,35.068943,0.07968892
3858.3358837322767,31.325315,0.08484005
3859.2234888319,37.88524,0.081807345
3860.1134172447873,41.195045,0.080667175
3861.001431263659,38.919903,0.081010066
3861.8917696661447,35.47016,0.083696485
3862.780192792654,35.649204,0.0829248
3863.668820299736,37.082085,0.08087444
3864.5597737962416,40.36426,0.07748556
3865.448810693595,41.98952,0.07786441
3866.3401746519544,39.797054,0.07943098
3867.229621128185,39.51917,0.080397345
3868.121395737497,42.88706,0.078134514
3869.0112519812974,40.882923,0.08141266
3869.9013129353575,37.822266,0.0854939
3870.7937036309,38.57052,0.087133765
3871.6841746356195,38.177715,0.0871413
3872.576976455132,41.995216,0.084884204
3873.467857699421,38.392235,0.08738172
3874.3610708323085,35.229393,0.08987041
3875.252362505165,37.502666,0.08796068
3876.143859218499,36.633316,0.08653581
3877.0376894314263,35.272205,0.088072814
3877.929596856874,37.12323,0.08828209
3878.8238388569566,36.103733,0.09172492
3879.7161571837323,33.675396,0.09518147
3880.6108111606804,32.97992,0.09988026
3881.5035405780864,23.806995,0.108236134
3882.396475366721,25.475218,0.10988772
3883.2917474191227,30.720175,0.099167176
3884.1850935823913,32.078712,0.09611226
3885.080778086203,32.038727,0.09848579
3885.9745358136256,24.489172,0.10909665
3886.8706329588636,25.988379,0.10727541
3887.7648024400473,27.720173,0.078247726
3888.6591776237456,24.684725,0.08093376
3889.5558938414556,19.918575,0.081778914
3890.4506810633766,13.770926,0.1149489
3891.3478103978227,11.761843,0.12033257
3892.243009847793,12.076378,0.121089645
3893.1405524892984,14.02601,0.11931896
3894.0361643572305,15.757683,0.118554994
3894.9341204962057,17.25551,0.11678986
3895.8301449721007,28.138405,0.100564264
3896.726375577249,16.727438,0.11701352
3897.62495207299,28.534925,0.09987516
3898.5215955711533,24.024672,0.10544844
3899.420586040659,30.699753,0.098877914
3900.317642622057,32.803757,0.09625018
3901.217047256046,29.84702,0.10025116
3902.114517110986,29.550068,0.10334101
3903.0121934276863,30.931456,0.10340507
3903.91221941914,32.93752,0.105197676
3904.810309294894,33.853123,0.09943486
3905.710749927895,32.71699,0.09962165
3906.6092535532293,33.53568,0.09438807
3907.510109018803,40.567127,0.087638706
3908.4090265843315,30.024271,0.09502602
3909.3081509446642,28.057219,0.09784234
3910.2096287700156,36.19812,0.09350858
3911.109167356515,39.66317,0.09186661
3912.0110604922734,39.866337,0.09474554
3912.911013495773,41.911613,0.0960832
3913.8133221332714,40.12441,0.09581215
3914.7136897446935,42.380585,0.09242924
3915.614264484501,37.64878,0.09992283
3916.517196485707,39.67862,0.098555885
3917.4181861198704,35.371048,0.10325529
3918.321534101421,42.57679,0.09843116
3919.2229388210817,42.7416,0.10073877
3920.126702974619,42.617485,0.104234405
3921.028522971007,44.97229,0.10794396
3921.9305504298995,39.467117,0.11501973
3922.834938952694,40.680035,0.11364104
3923.7373819752092,44.626686,0.10733006
3924.6421871493676,38.65088,0.11205783
3925.5450459269555,44.5407,0.103858955
3926.4502679444286,35.499588,0.111577936
3927.3535426686276,44.857212,0.103494905
3928.2570251899897,45.093735,0.10495865
3929.162872583891,38.7509,0.11302263
3930.066771339222,40.23964,0.117062464
3930.9730360565886,40.289154,0.119177565
3931.877351237648,37.75268,0.12282816
3932.78403347074,36.115437,0.12679143
3933.6887652693745,32.471947,0.13314131
3934.5937052003706,27.82967,0.14158246
3935.5010138186867,26.381018,0.14271249
3936.4063706550796,29.124844,0.14001016
3937.314097270046,29.3394,0.13670464
3938.219871203905,32.32415,0.12848997
3939.128016008093,39.787685,0.11183322
3940.034207231573,41.49645,0.10615269
3940.9406069231536,36.55121,0.11055136
3941.849379122989,39.63319,0.10853985
3942.7561963924777,41.38202,0.11027633
3943.665387263235,39.24405,0.11568987
3944.5726223030097,37.477844,0.118140325
3945.48223203757,40.817753,0.1121001
3946.389885040098,35.376133,0.11497943
3947.297746847006,34.981873,0.11474008
3948.207984989267,39.15092,0.10973847
3949.116265047679,38.185356,0.113071024
3950.026922536221,33.971127,0.11937817
3950.9356210388255,31.716026,0.11782768
3951.8466980668404,34.999813,0.115883164
3952.7558152064144,36.79657,0.11229075
3953.6651414871912,29.295652,0.12326163
3954.5768479365934,32.35276,0.11729762
3955.486593143557,33.714252,0.111912996
