wavelength_A,flux,ivar
3810.659020519133,59.56598,0.08521709
3811.5356576190284,61.787033,0.07940523
3812.412496388137,58.331314,0.08165988
3813.291630289555,57.7814,0.08215769
3814.168873017869,59.419235,0.08016957
3815.048411935859,56.60648,0.08277241
3815.9260588094817,48.79093,0.09138587
3816.8060029306343,42.48842,0.09549102
3817.6840541357556,48.927624,0.092806675
3818.562307335403,47.00218,0.09359412
3819.442859369643,48.693817,0.09626442
3820.321517180123,52.066395,0.090744294
3821.202474884268,51.415535,0.09635503
3822.081537491985,44.310764,0.10676761
3822.962901052926,44.509914,0.10222043
3823.8423686443693,53.48505,0.097869
3824.7241382490856,55.836403,0.09713082
3825.6040110108315,46.457184,0.10696113
3826.48408618615,47.01379,0.110478014
3827.366464965097,46.145023,0.11107821
3828.246945590631,41.866768,0.109655924
3829.129730881063,41.854744,0.10540386
3830.010617143604,40.453346,0.10663773
3830.893809132801,35.802315,0.11007627
3831.7751012192257,36.27528,0.104407586
3832.6565960457365,41.312675,0.10047294
3833.5403981918244,36.179684,0.10715961
3834.422299122584,35.6601,0.10503917
3835.3065084359014,38.490833,0.111229345
3836.1888156580017,35.477676,0.1138198
3837.0734323261304,32.43991,0.11499747
3837.9561460267496,33.03401,0.11294074
3838.839062794496,33.814278,0.115277216
3839.724290603761,33.223713,0.118130125
3840.6076141308436,31.965195,0.11987413
3841.4932497641403,34.243732,0.12700358
3842.376980237953,41.733738,0.12202139
3843.2630238831666,45.402378,0.11723531
3844.1471614911898,51.812252,0.10769008
3845.0315024939073,54.07482,0.10235922
3845.9181582660904,54.181328,0.09730752
3846.8029066842887,57.031612,0.09624216
3847.6899709383656,61.70157,0.08970001
3848.575126959741,60.839355,0.0916537
3849.4625998838987,60.103878,0.090289675
3850.3481636962338,63.675323,0.09227769
3851.2339312313597,58.491943,0.09963001
3852.1220172699104,54.335827,0.107437015
3853.0081928777204,61.096363,0.10526535
3853.896688057088,62.460644,0.10394382
3854.78327192558,60.283497,0.10999851
3855.6721764342556,57.44755,0.11109017
3856.5591687515152,60.351368,0.10997855
3857.4463651201922,61.041504,0.10739172
3858.3358837322767,58.01976,0.1116591
3859.2234888319,58.43104,0.11308857
3860.1134172447873,52.103607,0.1210747
3861.001431263659,45.373337,0.12862906
3861.8917696661447,45.71849,0.13225815
3862.780192792654,53.33526,0.118795134
3863.668820299736,58.597275,0.10786194
3864.5597737962416,62.90269,0.1038474
3865.448810693595,62.914757,0.09951841
3866.3401746519544,61.804,0.10059622
3867.229621128185,62.842976,0.09859689
3868.121395737497,61.59593,0.09856321
3869.0112519812974,63.155758,0.0994074
3869.9013129353575,64.87527,0.09817919
3870.7937036309,66.05393,0.098992646
3871.6841746356195,65.060196,0.10670316
3872.576976455132,59.16642,0.11091851
3873.467857699421,51.89307,0.12859248
3874.3610708323085,47.51998,0.12688328
3875.252362505165,47.538357,0.13285623
3876.143859218499,52.33572,0.12163842
3877.0376894314263,58.485844,0.1143764
3877.929596856874,60.122177,0.11680402
3878.8238388569566,57.423355,0.118964426
3879.7161571837323,53.703533,0.12312268
3880.6108111606804,54.22488,0.12720245
3881.5035405780864,59.341324,0.11640515
3882.396475366721,59.506004,0.11913136
3883.2917474191227,58.721638,0.11797189
3884.1850935823913,57.171658,0.12106976
3885.080778086203,51.814194,0.12810016
