wavelength_A,flux,ivar
3801.8932953144076,3.55133,0.041125372
3802.7700035112916,-2.9690406,0.053162128
3803.644825753192,2.4141593,0.0486559
3804.5219378491265,4.9925904,0.049403567
3805.397163121219,3.4411137,0.05476778
3806.272589737735,4.5641136,0.05807306
3807.1503077902407,3.5436223,0.06047836
3808.0261377153843,-1.9892029,0.06454392
3808.9042601321803,0.40252492,0.06298791
3809.780493551755,-2.6727922,0.06699913
3810.659020519133,7.558218,0.058744185
3811.5356576190284,2.89699,0.063022405
3812.412496388137,-5.590067,0.06783071
3813.291630289555,-3.9320478,0.06571441
3814.168873017869,1.5091994,0.060023528
3815.048411935859,2.5224123,0.06050679
3815.9260588094817,0.45555234,0.05943496
3816.8060029306343,1.2200807,0.05934151
3817.6840541357556,5.892178,0.056378458
3818.562307335403,4.0777845,0.057660263
3819.442859369643,3.4263256,0.05886117
3820.321517180123,4.131524,0.05816519
3821.202474884268,-0.52546626,0.06240368
3822.081537491985,0.62485385,0.060913637
3822.962901052926,4.0165057,0.061045848
3823.8423686443693,1.2983197,0.0631819
3824.7241382490856,1.5457714,0.06357706
3825.6040110108315,6.426299,0.06325645
3826.48408618615,0.3373278,0.07293564
3827.366464965097,-5.8647976,0.05467401
3828.246945590631,5.821171,0.0464343
3829.129730881063,1.2291415,0.042981744
3830.010617143604,3.6152709,0.06183579
3830.893809132801,5.072772,0.054862347
3831.7751012192257,-4.4608173,0.05310924
3832.6565960457365,-2.9594169,0.054397274
3833.5403981918244,5.1685867,0.04774361
3834.422299122584,2.974739,0.05459126
3835.3065084359014,8.569634,0.056781564
3836.1888156580017,-2.8999488,0.071743235
3837.0734323261304,-4.191175,0.080138706
3837.9561460267496,-0.85865396,0.07571016
3838.839062794496,3.0208735,0.070134796
3839.724290603761,2.3969164,0.06729617
3840.6076141308436,-0.6803275,0.06885676
3841.4932497641403,3.431177,0.06255326
3842.376980237953,5.816599,0.063332394
3843.2630238831666,0.039271645,0.0689702
3844.1471614911898,-0.9116958,0.06950982
3845.0315024939073,-0.7238656,0.07003962
3845.9181582660904,2.667303,0.065428965
3846.8029066842887,5.6939797,0.06728798
3847.6899709383656,2.0841062,0.07199243
3848.575126959741,0.36142275,0.07776269
3849.4625998838987,7.7070265,0.07327474
3850.3481636962338,6.8675365,0.07494934
3851.2339312313597,-1.6062255,0.080841124
3852.1220172699104,7.89303,0.06975463
3853.0081928777204,6.9697304,0.06774316
3853.896688057088,2.6667838,0.06821801
3854.78327192558,7.5813785,0.06546597
3855.6721764342556,10.593831,0.066171974
3856.5591687515152,6.218754,0.072585426
3857.4463651201922,3.8940055,0.07794335
3858.3358837322767,7.780787,0.075973056
3859.2234888319,6.069692,0.079519995
3860.1134172447873,-1.3571486,0.09561822
3861.001431263659,-1.7422704,0.09273019
3861.8917696661447,5.4617114,0.078312635
3862.780192792654,1.5223149,0.07909112
3863.668820299736,-0.5612069,0.078424044
3864.5597737962416,6.101683,0.07142351
3865.448810693595,8.355892,0.0492991
3866.3401746519544,3.937511,0.0502738
3867.229621128185,4.7682614,0.08122444
